"date","China","South_Korea","Japan","Italy","USA","France","Germany","United_Kingdom","Spain"
2020-01-20,278,1,1,0,0,0,0,0,0
2020-01-21,309,1,1,0,0,0,0,0,0
2020-01-23,571,1,1,0,1,0,0,0,0
2020-01-24,830,2,1,0,1,0,0,0,0
2020-01-25,1297,2,3,0,2,3,0,0,0
2020-01-26,1985,2,3,0,2,3,0,0,0
2020-01-27,2761,4,4,0,5,3,0,0,0
2020-01-28,4537,4,6,0,5,3,1,0,0
2020-01-29,5997,4,7,0,5,4,4,0,0
2020-01-30,7736,4,11,0,5,5,4,0,0
2020-01-31,9720,11,14,2,6,6,5,0,0
2020-02-01,11821,12,17,2,7,6,7,2,1
2020-02-02,14411,15,20,2,8,6,8,2,1
2020-02-03,17238,15,20,2,11,6,10,2,1
2020-02-04,20471,16,20,2,11,6,12,2,1
2020-02-05,24363,18,33,2,11,6,12,2,1
2020-02-06,28060,23,25,2,12,6,12,2,1
2020-02-07,31211,24,25,3,12,6,13,3,1
2020-02-08,34598,24,25,3,12,6,14,3,1
2020-02-09,37251,27,26,3,12,11,14,3,1
2020-02-10,40235,27,26,3,12,11,14,4,2
2020-02-11,42708,28,26,3,13,11,14,8,2
2020-02-12,44730,28,28,3,13,11,16,8,2
2020-02-13,46550,28,29,3,14,11,16,9,2
2020-02-14,48548,28,33,3,15,11,16,9,2
2020-02-15,50054,28,41,3,15,11,16,9,2
2020-02-16,51174,29,53,3,15,12,16,9,2
2020-02-17,70635,30,59,3,15,12,16,9,2
2020-02-18,72528,31,65,3,15,12,16,9,2
2020-02-19,74280,51,73,3,15,12,16,9,2
2020-02-20,74675,104,85,3,15,12,16,9,2
2020-02-21,75569,204,93,3,15,12,16,9,2
2020-02-22,76392,346,105,9,35,12,16,9,2
2020-02-23,77042,602,132,76,35,12,16,9,2
2020-02-24,77262,763,144,124,35,12,16,9,2
2020-02-25,77780,977,157,229,53,12,16,13,2
2020-02-26,78191,1261,164,322,53,12,18,13,2
2020-02-27,78630,1766,186,400,59,18,21,13,12
2020-02-28,78961,2337,210,650,59,38,26,16,25
2020-02-29,79394,3150,230,888,62,57,57,20,32
2020-03-01,79968,3736,239,1128,62,100,57,23,45
2020-03-02,80174,4212,254,1689,62,100,129,36,45
2020-03-03,80304,4812,268,2036,64,191,157,39,114
2020-03-04,80422,5328,284,2502,108,212,196,51,151
2020-03-05,80565,5766,317,3089,129,282,262,89,198
2020-03-06,80711,6284,349,3858,148,420,534,118,257
2020-03-07,80813,6767,408,4636,213,613,639,167,374
2020-03-08,80859,7134,455,5883,213,706,795,210,430
2020-03-09,80904,7382,488,7375,213,1116,1112,277,589
2020-03-10,80924,7513,514,9172,472,1402,1139,323,1024
2020-03-11,80955,7755,568,10149,696,1774,1296,373,1639
2020-03-12,80981,7869,620,12462,987,2269,1567,460,2140
2020-03-13,80991,7979,675,15113,1264,2860,2369,594,2965
2020-03-14,81021,8086,716,17660,1678,3640,3062,802,4231
2020-03-15,81048,8162,780,21175,1678,4469,3795,1144,5753
2020-03-16,81077,8236,814,24747,1678,5380,4838,1395,7753
2020-03-17,81116,8320,829,27980,3503,6573,6012,1547,9191
2020-03-18,81116,8320,829,31506,3536,7652,7156,1954,11178
2020-03-19,81174,8413,873,35713,7087,9043,8198,2630,13716
2020-03-20,81300,8652,950,41035,10442,10877,10999,3277,17147
2020-03-21,81416,8799,996,47021,15219,12475,18323,3983,19980
2020-03-22,81498,8897,1046,53578,15219,14296,21463,5018,24926
2020-03-23,81601,8961,1089,59138,31573,15821,24774,5687,28572
2020-03-24,81747,9037,1128,63927,42164,19615,29212,6654,33089
2020-03-25,81848,9137,1193,69176,51914,22025,31554,8081,39673
2020-03-26,81961,9241,1291,74386,63570,24920,36508,9533,47610
2020-03-27,82078,9332,1387,80539,68334,28786,42288,11662,56188
2020-03-28,82230,9478,1499,86498,85228,32542,48582,14547,64059
2020-03-29,82356,9583,1693,92472,103321,37145,52547,17093,72248
2020-03-30,82447,9661,1866,97689,122653,39642,57298,19526,78797
2020-03-31,82545,9786,1953,101739,140640,43977,61913,22145,85195
2020-04-01,82631,9887,2178,105792,163199,51477,67366,25154,94417
2020-04-02,82724,9976,2384,110574,187302,56261,73522,29478,102136
2020-04-03,82802,10062,2617,115242,213600,58327,79696,33722,110238
2020-04-04,82875,10156,2920,119827,241703,63536,85778,38172,117710
2020-04-05,82930,10237,3271,124632,273808,67757,91714,41907,124736
2020-04-06,83005,10284,3654,128948,307318,69607,95391,47810,130759
2020-04-07,83071,10331,3906,132547,333811,73488,99225,51612,135032
2020-04-08,83157,10384,4257,135586,363321,77226,103228,55246,140510
2020-04-09,83249,10423,4768,139422,395030,81095,108202,60737,146690
2020-04-10,83305,10450,5347,143626,425889,85351,113525,65081,152446
2020-04-11,83369,10480,6005,147577,461275,89683,117658,70276,157022
2020-04-12,83482,10512,6748,152271,492881,92787,120479,78995,161852
2020-04-13,83597,10537,7255,156363,524514,94382,123016,84283,166019
2020-04-14,83696,10564,7645,159516,553822,97050,125098,88625,169496
2020-04-15,83745,10591,8100,162488,578268,102533,127584,93877,172541
2020-04-16,83797,10613,8582,165155,604070,105155,130450,98480,177633
2020-04-17,84149,10635,9167,168941,632781,107778,133830,103097,182816
2020-04-18,84180,10653,9795,172434,665330,108163,137439,108696,188068
2020-04-19,84201,10661,10361,175925,695353,110721,139897,114221,191726
2020-04-20,84237,10674,10751,178972,723605,111463,141672,120071,195944
2020-04-21,84250,10683,11118,181228,751273,113513,143457,124747,200210
